id,name,summary,damage_type,damage_form,element,damage_label,archetype,damage_ratio,cooldown,range,pierce,duration,radius,bounce,ui_icon
sword_wave,金翎剑气,祭出1道金翎剑气，贯穿前方敌群，造成[金行]物理伤害。,物理,weapon,metal,金行剑罡,直线贯穿清怪,1.65,4.2,980,3,,,,106990
arcane_laser,七宝神光,引七宝神光持续照射前方，造成[金行]法术伤害。,法术,spell,metal,金行佛光,持续照射压制,0.95,8.0,900,,1.8,,,106857
arcane_ray,破妄神光,打出1束破妄神光，贯穿路径上的敌人，造成[金行]法术伤害。,法术,spell,metal,金行神光,长线穿透爆发,2.15,6.2,1050,4,,,,106858
frost_nova,玄冰法环,以自身为心爆发玄冰法环，冻结周围敌人并造成[水行]法术伤害。,法术,spell,water,水行寒潮,近身爆发控场,1.60,8.0,0,,1.2,280,,106941
chain_lightning,雷音连珠,降下一道雷音电芒，在敌群之间连锁弹射，造成[木行]法术伤害。,法术,spell,wood,木行雷链,连锁清怪扩散,1.25,5.3,920,,,,6,106859
earthquake,地脉崩山,震裂目标区域的地脉，造成[土行]物理伤害并压制敌人。,物理,weapon,earth,土行震罡,范围爆发减速,2.30,8.8,860,,,300,,106989
tornado,黄风卷,唤出1道黄风卷向前席卷，持续切割并牵引敌人，造成[木行]法术伤害。,法术,spell,wood,木行罡风,移动压制拖拽,0.85,8.0,920,,4.0,190,,106991
electro_net,缚妖雷网,在目标区域张开缚妖雷网，束缚并电击敌人，造成[木行]法术伤害。,法术,spell,wood,木行雷网,范围束缚控制,1.45,7.6,880,,2.6,250,,106860
meteor,火云陨星,召来火云陨星坠落目标区域，造成[火行]法术伤害。,法术,spell,fire,火行陨炎,高爆发范围终结,3.10,10.2,980,,,320,,106980
hurricane,罡风天轮,在前方唤起罡风天轮，聚拢敌人并持续切割，造成[木行]法术伤害。,法术,spell,wood,木行飓流,聚怪切割持续场,1.05,8.8,900,,4.0,220,,106992
fireball,三昧火珠,射出1枚三昧火珠，命中后爆裂并灼烧敌人，造成[火行]法术伤害。,法术,spell,fire,火行真炎,点面兼顾爆炸,1.85,4.6,930,,,220,,106977
moon_blade,月轮金刃,掷出1道月轮金刃来回斩击，造成[金行]物理伤害。,物理,weapon,metal,金行轮斩,往返轮斩收割,1.45,5.0,980,2,,,,106943
lotus_flame,红莲业火,在目标区域燃起红莲业火，持续焚烧范围内敌人，造成[火行]法术伤害。,法术,spell,fire,火行业火,持续火域焚烧,0.95,7.8,880,,5.0,240,,106978
demon_seal,镇妖法印,落下一枚镇妖法印，短暂封镇后爆发，造成[土行]法术伤害。,法术,spell,earth,土行法印,先封后爆控制,2.00,6.8,860,,2.0,220,,106942
flying_swords,诛邪飞剑,唤出数柄诛邪飞剑追索敌人，造成[金行]物理伤害。,物理,weapon,metal,金行飞剑,追击飞剑攒射,0.90,5.2,930,,,,4,106944
