key,value,description
__字段说明__,配置键,配置值,说明
debug_time_scale_debug,0.2,调试模式时间缩放
debug_time_scale_release,1.0,发布模式时间缩放
enemy_player_id,31,敌方玩家ID
enemy_move_speed_scale,0.48,敌方移动速度缩放
enemy_spawn_batch_scale,3.0,敌方刷怪批次缩放
enemy_alive_cap_scale,3.0,敌方存活上限缩放
player_id,1,玩家ID
total_enemy_soft_cap_scale,3.0,总敌人软上限缩放
total_enemy_soft_cap,40,总敌人软上限
debug_apply_hero_bonus_on_spawn,false,生成英雄时应用调试加成
engine_exp_cap_level,1,经验上限等级
max_level,60,最大等级
post_cap_exp_base,320,等级上限后基础经验
post_cap_exp_step,55,等级上限后经验步进
hero_level_attack_growth,6,英雄等级攻击成长
hero_level_hp_growth,60,英雄等级生命成长
hero_level_all_attr_growth,2,英雄等级全属性成长
main_stat_attack_ratio,0.5,主属性攻击比例
gold_per_sec,2,每秒金币
initial_gold,0,初始金币
initial_wood,500,初始木材
wood_per_sec,1,每秒木材
challenge_initial_charges,1,挑战初始次数
challenge_max_charges,3,挑战最大次数
challenge_recover_sec,105,挑战恢复时间(秒)
