node_id,attr_name,value
bond_archery_barrage,攻击范围,150
bond_archery_core_burst,多重伤害,5
bond_archery_core_burst,攻击,50
bond_archery_core_stance,攻击,50
bond_archery_core_stance,敏捷,50
bond_archery_rapid,攻击速度,30
bond_archery_shooting,攻击,50
bond_archery_shooting,敏捷,50
bond_body_blood_demon_satan,力量,100
bond_body_blood_demon_satan,攻击,100
bond_body_blood_oath_spear,生命,500
bond_body_core_vitality,力量,50
bond_body_core_vitality,生命,100
bond_body_fortress,护甲,5
bond_body_fortress,格挡,5
bond_body_fortress,生命,100
bond_body_life,生命恢复,2
bond_body_life_blessing,生命,200
bond_body_life_power,护甲,5
bond_body_life_power,生命增幅,5
bond_critical_cannon,魔法暴击,5
bond_critical_cannon_attack,物理暴击,5
bond_critical_core,物理暴击,3
bond_critical_core,魔法暴击,3
bond_critical_core_damage,物理暴伤,10
bond_critical_core_damage,魔法暴伤,10
bond_critical_deadly,物理暴击,3
bond_critical_deadly_magic,魔法暴击,3
bond_growth_agility,敏捷,100
bond_growth_agility_amp,敏捷增幅,5
bond_growth_agility_grant,敏捷,100
bond_growth_archmage,智力,50
bond_growth_archmage_burst,魔法暴击,3
bond_growth_archmage_quick_cast,技能急速,15
bond_growth_archmage_sage,智力,150
bond_growth_barbarian_hammer,力量,120
bond_growth_barbarian_hammer,攻击,80
bond_growth_barbarian_steel,护甲,10
bond_growth_barbarian_steel,护甲增幅,5
bond_growth_barbarian_warcry,技能急速,10
bond_growth_barbarian_warcry,生命恢复,4
bond_growth_bow_god,命中,20
bond_growth_bow_god,最终伤害,4
bond_growth_bow_god_piercing,攻击范围,150
bond_growth_demon_hunter,攻击范围,100
bond_growth_demon_hunter,敏捷,120
bond_growth_demon_hunter_heartseeker,物理暴击,6
bond_growth_demon_hunter_rapid,攻击速度,25
bond_growth_intelligence,智力,100
bond_growth_intelligence_amp,智力增幅,5
bond_growth_intelligence_grant,智力,100
bond_growth_spell_god,智力,100
bond_growth_spell_god_mana,智力,200
bond_growth_strength,力量,100
bond_growth_strength_amp,力量增幅,5
bond_growth_strength_grant,力量,100
bond_growth_war_god,物理暴击,10
bond_growth_war_god_guard,护甲,10
bond_growth_war_god_guard,格挡,5
bond_growth_war_god_guard,生命,800
bond_growth_war_god_power,力量,200
bond_growth_war_god_power,力量增幅,10
bond_magic_arcane_power,技能急速,10
bond_magic_core_essence,攻击,50
bond_magic_core_essence,智力,50
bond_magic_haste,技能急速,10
bond_magic_haste,智力,111
bond_magic_mage,攻击,50
bond_magic_mage,智力,50
