root_id,phase,attr_name,value
bond_element_core,base,魔法伤害,5
bond_element_core,base,技能伤害,5
bond_necro_core,base,攻击,50
bond_necro_core,base,生命,100
bond_paladin_core,base,生命,100
bond_paladin_core,base,护甲,5
bond_assassin_core,base,攻击,50
bond_assassin_core,base,物理暴击,3
bond_warlock_core,base,攻击,50
bond_warlock_core,base,物理暴击,3
bond_summoner_core,base,攻击,50
bond_summoner_core,base,生命,100
bond_warrior_core,base,生命,100
bond_warrior_core,base,护甲,5
bond_guardian_core,base,生命,100
bond_guardian_core,base,护甲,5
bond_berserker_core,base,攻击,50
bond_berserker_core,base,物理暴击,3
bond_hunter_core,base,攻击范围,100
bond_hunter_core,base,技能急速,5
bond_machinist_core,base,攻击,50
bond_machinist_core,base,生命,100
bond_witchdoctor_core,base,魔法伤害,5
bond_witchdoctor_core,base,技能伤害,5
bond_shadowwalker_core,base,攻击,50
bond_shadowwalker_core,base,物理暴击,3
bond_inquisitor_core,base,攻击,50
bond_inquisitor_core,base,物理暴击,3
bond_priest_core,base,生命,200
bond_priest_core,base,生命恢复,2
bond_curseblade_core,base,攻击,50
bond_curseblade_core,base,物理暴击,3
bond_dragonborn_core,base,攻击,50
bond_dragonborn_core,base,生命,100
bond_astrologer_core,base,命中,20
bond_astrologer_core,base,技能急速,5
bond_illusionist_core,base,攻击,50
bond_illusionist_core,base,生命,100
bond_inferno_core,base,魔法伤害,5
bond_inferno_core,base,技能伤害,5
bond_frost_core,base,攻击范围,100
bond_frost_core,base,技能急速,5
bond_thunder_core,base,攻击,50
bond_thunder_core,base,物理暴击,3
bond_windspeaker_core,base,攻击范围,100
bond_windspeaker_core,base,技能急速,5
bond_runesmith_core,base,命中,20
bond_runesmith_core,base,技能急速,5
bond_oracle_core,base,命中,20
bond_oracle_core,base,技能急速,5
bond_shadowmage_core,base,魔法伤害,5
bond_shadowmage_core,base,技能伤害,5
bond_boneknight_core,base,生命,100
bond_boneknight_core,base,护甲,5
bond_executor_core,base,攻击,50
bond_executor_core,base,物理暴击,3
