root_id,attr_axis,route_axis
bond_element_core,智力,法术
bond_necro_core,智力,召唤
bond_paladin_core,力量,物理
bond_assassin_core,敏捷,物理
bond_warlock_core,智力,法术
bond_summoner_core,智力,召唤
bond_warrior_core,力量,物理
bond_guardian_core,力量,物理
bond_berserker_core,力量,物理
bond_hunter_core,敏捷,物理
bond_machinist_core,敏捷,物理
bond_alchemist_core,智力,法术
bond_witchdoctor_core,智力,法术
bond_shadowwalker_core,敏捷,物理
bond_inquisitor_core,力量,法术
bond_priest_core,智力,法术
bond_curseblade_core,力量,法术
bond_dragonborn_core,力量,物理
bond_astrologer_core,智力,法术
bond_illusionist_core,智力,召唤
bond_inferno_core,智力,法术
bond_frost_core,智力,法术
bond_thunder_core,智力,法术
bond_windspeaker_core,敏捷,法术
bond_runesmith_core,智力,法术
bond_oracle_core,智力,法术
bond_shadowmage_core,智力,法术
bond_boneknight_core,力量,召唤
bond_forge_core,力量,物理
bond_executor_core,力量,物理
