root_id,phase,runtime_key,value
bond_element_core,base,skill_damage_bonus,0.05
bond_necro_core,base,skill_damage_bonus,0.05
bond_assassin_core,base,all_damage_bonus,0.04
bond_warlock_core,base,all_damage_bonus,0.04
bond_summoner_core,base,skill_damage_bonus,0.05
bond_berserker_core,base,all_damage_bonus,0.04
bond_hunter_core,base,chain_bounces,1
bond_machinist_core,base,skill_damage_bonus,0.05
bond_alchemist_core,base,gold_per_sec_bonus,15
bond_alchemist_core,base,wood_per_sec_bonus,0.5
bond_witchdoctor_core,base,skill_damage_bonus,0.05
bond_shadowwalker_core,base,all_damage_bonus,0.04
bond_inquisitor_core,base,all_damage_bonus,0.04
bond_curseblade_core,base,all_damage_bonus,0.04
bond_dragonborn_core,base,skill_damage_bonus,0.05
bond_astrologer_core,base,kill_gold_ratio,0.1
bond_illusionist_core,base,skill_damage_bonus,0.05
bond_inferno_core,base,skill_damage_bonus,0.05
bond_frost_core,base,chain_bounces,1
bond_thunder_core,base,all_damage_bonus,0.04
bond_windspeaker_core,base,chain_bounces,1
bond_runesmith_core,base,kill_gold_ratio,0.1
bond_oracle_core,base,kill_gold_ratio,0.1
bond_shadowmage_core,base,skill_damage_bonus,0.05
bond_forge_core,base,gold_per_sec_bonus,15
bond_forge_core,base,wood_per_sec_bonus,0.5
bond_executor_core,base,all_damage_bonus,0.04
