skill_id,enabled,chance,wave_count_default,wave_count_with_tactical_reposition,wave_damage_attack_ratio,wave_damage_three_attr_ratio,line.distance,line.width,line.max_targets,line.target_fx_scale,line.target_fx_time,line.hit_fx_scale,line.hit_fx_time,line.instant_hit,damage_attack_ratio,damage_attack_speed_ratio,line_aoe_radius,line_aoe_ratio,arrow_rain.radius,arrow_rain.tick_count,arrow_rain.tick_interval,arrow_rain.tick_damage_attack_ratio,arrow_rain.fx_pulse_every,damage_missing_hp_ratio,hit_count_trigger,storm_radius,tick_count,tick_interval,tick_damage_attack_ratio,tick_damage_sword_intent_ratio,spoke_count,spoke_rotation_delta,spoke_radius_ratio,edge_scale_ratio,edge_scale_floor,fx_pulse_every,trigger_floor_default,trigger_floor_with_crit_card,aoe_radius,demon_damage_attack_ratio,interval,splash_radius,splash_damage_attack_ratio,tick_damage_max_hp_ratio,summon_duration,summon_kind,bolts_per_tick,base_target_count,min_target_count,max_target_count,damage_ratio_default,damage_ratio_with_talent,range,runtime_bonus_key,card_bonus_target_count,heal_max_hp_ratio,multishot,bonus_target_count,cycle_interval,frenzy_duration,all_damage_bonus,kill_threshold,trigger_chance,demon_duration,sword_intent_gain,radius,line_distance_default,line_distance_with_tail_sweep,line_width_default,line_width_with_tail_sweep,width_scale_with_tail_sweep,min_width,pierce_width_ratio,min_pierce_width,name,summary,base_damage_ratio,base_cooldown,base_range,base_pierce,base_pierce_width,base_repeat_count,ui_icon,icon,archetype
__字段说明__,是否启用(1启用/0禁用),触发概率,默认波次数,战术重定位波次数,波次攻击伤害系数,波次三属性伤害系数,直线距离,直线宽度,直线最大目标数,目标特效缩放,目标特效时长,命中特效缩放,命中特效时长,是否瞬时命中(真/假),攻击伤害系数,攻速伤害系数,直线AOE半径,直线AOE系数,箭雨半径,箭雨跳数,箭雨跳间隔,箭雨每跳攻击系数,箭雨特效脉冲频率,已损生命伤害系数,命中计数触发阈值,风暴半径,持续跳数,持续跳间隔,每跳攻击系数,每跳剑意系数,辐条数量,辐条旋转增量,辐条半径系数,边缘缩放系数,边缘最小缩放,特效脉冲频率,默认触发下限,暴击卡触发下限,范围半径,入魔攻击系数,触发间隔(秒),溅射半径,溅射攻击系数,每跳最大生命系数,召唤持续时间(秒),召唤类型,每跳弹道数,基础目标数,最小目标数,最大目标数,默认伤害倍率,天赋伤害倍率,作用距离,运行时加成键,卡牌加成目标数,最大生命治疗系数,连射数,额外目标数,循环间隔(秒),狂化持续时间(秒),全伤害加成,击杀阈值,触发概率,入魔持续时间(秒),剑意增量,半径,默认直线距离,甩尾直线距离,默认直线宽度,甩尾直线宽度,甩尾宽度缩放,最小宽度,穿透宽度系数,最小穿透宽度,名称,描述,基础伤害系数,基础冷却(秒),基础距离,基础穿透数,基础穿透宽度,基础重复次数,UI图标ID,图标ID,流派
basic_attack_profile,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,普攻,射出 1 支破空箭矢直取敌人，造成 125% 攻击的箭矢伤害。,1.25,1.05,820,0,96,1,100508,100508,基础攻击
bond_battlemage,1,0.14,,,,,,,,,,,,,3.35,,,,,,,,,,,,,,,,,,,,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bond_berserker,1,0.34,,,,,,,,,,,,,0.11,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bond_blademaster,1,,,,,,,,,,,,,,1.8,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bond_cryomancer,1,,,,,,,,,,,,,,,,,,,,,,,,,460,8,0.32,0.2,,,,,,,2,,,,,4.0,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bond_dragoon,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bond_gunner,1,0.12,1,2,2.8,1.2,1600,240,max,1.08,0.28,0.96,0.22,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bond_hunter,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,23,magic_deer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bond_magicswordsman,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
