field_name,field_name_zh
__字段说明__,字段：field_name_zh
skill_id,技能ID
enabled,启用
字段中文说明,行说明
chance,触发概率
wave_count_default,默认波次数
wave_count_with_tactical_reposition,战术重定位波次数
wave_damage_attack_ratio,波次攻击伤害系数
wave_damage_three_attr_ratio,波次三属性伤害系数
line.distance,直线距离
line.width,直线宽度
line.max_targets,直线最大目标数
line.target_fx_scale,目标特效缩放
line.target_fx_time,目标特效时长
line.hit_fx_scale,命中特效缩放
line.hit_fx_time,命中特效时长
line.instant_hit,是否瞬时命中
damage_attack_ratio,攻击伤害系数
damage_attack_speed_ratio,攻速伤害系数
line_aoe_radius,直线AOE半径
line_aoe_ratio,直线AOE系数
arrow_rain.radius,箭雨半径
arrow_rain.tick_count,箭雨跳数
arrow_rain.tick_interval,箭雨跳间隔
arrow_rain.tick_damage_attack_ratio,箭雨每跳攻击系数
arrow_rain.fx_pulse_every,箭雨特效脉冲频率
damage_missing_hp_ratio,已损生命伤害系数
hit_count_trigger,命中计数触发阈值
storm_radius,风暴半径
tick_count,持续跳数
tick_interval,持续跳间隔
tick_damage_attack_ratio,每跳攻击系数
tick_damage_sword_intent_ratio,每跳剑意系数
spoke_count,辐条数量
spoke_rotation_delta,辐条旋转增量
spoke_radius_ratio,辐条半径系数
edge_scale_ratio,边缘缩放系数
edge_scale_floor,边缘最小缩放
fx_pulse_every,特效脉冲频率
trigger_floor_default,默认触发下限
trigger_floor_with_crit_card,暴击卡触发下限
aoe_radius,范围半径
demon_damage_attack_ratio,入魔攻击系数
interval,触发间隔(秒)
splash_radius,溅射半径
splash_damage_attack_ratio,溅射攻击系数
tick_damage_max_hp_ratio,每跳最大生命系数
summon_duration,召唤持续时间
summon_kind,召唤类型
bolts_per_tick,每跳弹道数
base_target_count,基础目标数
min_target_count,最小目标数
max_target_count,最大目标数
damage_ratio_default,默认伤害倍率
damage_ratio_with_talent,天赋伤害倍率
range,作用距离
runtime_bonus_key,运行时加成键
card_bonus_target_count,卡牌加成目标数
heal_max_hp_ratio,最大生命治疗系数
multishot,连射数
bonus_target_count,额外目标数
cycle_interval,循环间隔
frenzy_duration,狂化持续时间
all_damage_bonus,全伤害加成
kill_threshold,击杀阈值
trigger_chance,触发概率
demon_duration,入魔持续时间
sword_intent_gain,剑意增量
radius,半径
line_distance_default,默认直线距离
line_distance_with_tail_sweep,甩尾直线距离
line_width_default,默认直线宽度
line_width_with_tail_sweep,甩尾直线宽度
width_scale_with_tail_sweep,甩尾宽度缩放
min_width,最小宽度
pierce_width_ratio,穿透宽度系数
min_pierce_width,最小穿透宽度
name,名称
summary,描述
base_damage_ratio,基础伤害系数
base_cooldown,基础冷却
base_range,基础距离
base_pierce,基础穿透数
base_pierce_width,基础穿透宽度
base_repeat_count,基础重复次数
ui_icon,UI图标ID
icon,图标ID
archetype,流派
