name,category,order,format,is_ratio,derived_output,persist,growth_kind
攻击,DAMAGE,10,integer,false,true,false,
攻击白字,DAMAGE,11,integer,false,false,true,
攻击绿字,DAMAGE,12,integer,false,false,true,
攻击范围,DAMAGE,20,integer,false,false,true,
攻击速度,DAMAGE,25,integer,false,false,true,
攻击间隔,DAMAGE,30,fixed2,false,false,true,
命中,DAMAGE,40,percent,true,false,true,
物理暴击,DAMAGE,50,percent,true,false,true,
物理暴伤,DAMAGE,60,percent,true,false,true,
魔法暴击,DAMAGE,70,percent,true,false,true,
魔法暴伤,DAMAGE,80,percent,true,false,true,
物理伤害,DAMAGE,90,percent,true,false,true,
魔法伤害,DAMAGE,100,percent,true,false,true,
物理吸血,DAMAGE,110,percent,true,false,true,
普攻伤害,DAMAGE,120,percent,true,false,true,
技能伤害,DAMAGE,130,percent_or_zero,true,false,true,
所有伤害,DAMAGE,140,percent,true,false,true,
最终伤害,DAMAGE,150,percent,true,false,true,
无视护甲,DAMAGE,160,percent,true,false,true,
护甲穿透,DAMAGE,170,integer,false,false,true,
多重数量,DAMAGE,180,integer,false,false,true,
多重伤害,DAMAGE,190,percent,true,false,true,
弹射次数,DAMAGE,200,integer,false,false,true,
弹射伤害,DAMAGE,210,percent,true,false,true,
生命,DEFENSE,10,integer,false,true,false,
生命白字,DEFENSE,11,integer,false,false,true,
生命绿字,DEFENSE,12,integer,false,false,true,
护甲,DEFENSE,20,integer,false,true,false,
护甲白字,DEFENSE,21,integer,false,false,true,
护甲绿字,DEFENSE,22,integer,false,false,true,
格挡,DEFENSE,30,integer,false,false,true,
闪避,DEFENSE,40,percent,true,false,true,
生命恢复,DEFENSE,50,fixed1,false,false,true,
伤害减免,DEFENSE,60,percent,true,false,true,
闪避恢复,DEFENSE,70,fixed1,false,false,true,
杀敌恢复,DEFENSE,80,fixed1,false,false,true,
控制时长,DEFENSE,90,percent,true,false,true,
杀敌经验,RESOURCE,10,percent,true,false,true,
杀敌加成,RESOURCE,20,percent,true,false,true,
杀敌木材,RESOURCE,30,percent,true,false,true,
杀敌金币,RESOURCE,40,percent,true,false,true,
每秒经验,RESOURCE,50,fixed1,false,false,true,per_second
每秒木材,RESOURCE,60,fixed1,false,false,true,per_second
每秒金币,RESOURCE,70,fixed1,false,false,true,per_second
每秒杀敌,RESOURCE,80,fixed1,false,false,true,per_second
力量,AMPLIFY,10,integer,false,true,false,
力量白字,AMPLIFY,11,integer,false,false,true,
力量绿字,AMPLIFY,12,integer,false,false,true,
敏捷,AMPLIFY,20,integer,false,true,false,
敏捷白字,AMPLIFY,21,integer,false,false,true,
敏捷绿字,AMPLIFY,22,integer,false,false,true,
智力,AMPLIFY,30,integer,false,true,false,
智力白字,AMPLIFY,31,integer,false,false,true,
智力绿字,AMPLIFY,32,integer,false,false,true,
力量增幅,AMPLIFY,40,percent,true,false,true,
敏捷增幅,AMPLIFY,50,percent,true,false,true,
智力增幅,AMPLIFY,60,percent,true,false,true,
攻击增幅,AMPLIFY,70,percent,true,false,true,
生命增幅,AMPLIFY,80,percent,true,false,true,
护甲增幅,AMPLIFY,90,percent,true,false,true,
每秒攻击,AMPLIFY,100,fixed1,false,false,true,per_second
每秒力量,AMPLIFY,110,fixed1,false,false,true,per_second
每秒敏捷,AMPLIFY,120,fixed1,false,false,true,per_second
每秒智力,AMPLIFY,130,fixed1,false,false,true,per_second
每秒生命,AMPLIFY,140,fixed1,false,false,true,per_second
杀敌攻击,AMPLIFY,150,fixed2,false,false,true,on_kill
杀敌力量,AMPLIFY,160,fixed2,false,false,true,on_kill
杀敌敏捷,AMPLIFY,170,fixed2,false,false,true,on_kill
杀敌智力,AMPLIFY,180,fixed2,false,false,true,on_kill
杀敌生命,AMPLIFY,190,fixed2,false,false,true,on_kill
杀敌护甲,AMPLIFY,200,fixed2,false,false,true,on_kill
最终力量,AMPLIFY,210,fixed1,false,true,false,
最终敏捷,AMPLIFY,220,fixed1,false,true,false,
最终智力,AMPLIFY,230,fixed1,false,true,false,
最终攻击,AMPLIFY,240,percent,true,false,true,
最终生命,AMPLIFY,250,percent,true,false,true,
最终护甲,AMPLIFY,260,percent,true,false,true,
攻击结算值,AMPLIFY,265,fixed1,false,true,false,
生命结算值,AMPLIFY,266,fixed1,false,true,false,
护甲结算值,AMPLIFY,267,fixed1,false,true,false,
最终力量增幅,AMPLIFY,270,percent,true,false,true,
最终敏捷增幅,AMPLIFY,280,percent,true,false,true,
最终智力增幅,AMPLIFY,290,percent,true,false,true,
精英伤害,OTHER,10,percent,true,false,true,
Boss伤害,OTHER,20,percent,true,false,true,
挑战伤害,OTHER,30,percent,true,false,true,
燃烧伤害,OTHER,40,percent,true,false,true,
冻结伤害,OTHER,50,percent,true,false,true,
百分比恢复,OTHER,60,percent,true,false,true,
恢复效果,OTHER,70,percent,true,false,true,
穿透次数,OTHER,80,integer,false,false,true,
卡牌增幅,OTHER,90,percent,true,false,true,
剑意,OTHER,100,integer,false,false,true,
