hook_key,target_kind,target_name,file_name,function_name,enabled,notes
__字段说明__,逻辑钩子键(card_*/bond_*),目标类型(card/bond),代码文件路径(相对script),函数名(精确到模块导出函数),目标名称(技能名或羁绊名),是否启用(1/0)
card_gale_bow,card,疾风弓,runtime/bond_modifier_special_effects.lua,api.trigger_modifier_card_basic_attack_effects,1,叠层攻速逻辑
card_shadow_dance,card,幻影剑舞,runtime/bond_modifier_special_effects.lua,api.trigger_modifier_card_basic_attack_effects,1,叠层攻击逻辑
card_frenzy,card,狂化,runtime/bond_modifier_special_effects.lua,api.trigger_modifier_card_periodic_effects,1,狂化周期逻辑
card_demonize,card,入魔,runtime/bond_modifier_special_effects.lua,api.handle_modifier_enemy_kill,1,击杀入魔逻辑
card_china_pride,card,中华傲决,runtime/bond_modifier_special_effects.lua,api.handle_modifier_enemy_kill,1,击杀剑意逻辑
bond_magicswordsman,bond,魔剑士,runtime/bond_modifier_special_effects.lua,api.handle_modifier_enemy_kill,1,主羁绊入魔状态逻辑
bond_skeletonmage,bond,骷髅法师,runtime/bond_modifier_special_effects.lua,api.handle_modifier_enemy_kill,1,主羁绊骷髅逻辑
bond_dragoon,bond,龙骑士,runtime/bond_modifier_core_effects.lua,api.trigger_modifier_basic_attack_effect,1,龙骑士主羁绊
bond_cryomancer,bond,冰霜法师,runtime/bond_modifier_core_effects.lua,api.trigger_modifier_periodic_effect,1,冰霜法师主羁绊
bond_stormlord,bond,雷电法王,runtime/bond_modifier_core_effects.lua,api.trigger_modifier_periodic_effect,1,雷电法王主羁绊
bond_gunner,bond,枪炮师,runtime/bond_modifier_core_effects.lua,api.trigger_modifier_basic_attack_effect,1,枪炮师主羁绊
