名称,图标,属性,数值,品质,获取方式,一级页签,二级页签,额外效果字符串,是否初始解锁
__字段说明__,字段：图标,字段：属性,字段：数值,字段：品质,字段：获取方式,字段：一级页签,字段：二级页签,字段：额外效果字符串,字段：是否初始解锁
string,image,string,string,string,string,string,string,string,bool
荣誉1级,131360,生命值|生命成长,300|10,SSR,荣誉积分达到100,通用存档,荣誉等级,,1
荣誉2级,131360,攻击力|攻击成长,10|1,SSR,荣誉积分达到300,通用存档,荣誉等级,,1
荣誉3级,131360,金币加成|经验加成,3|3,SSR,荣誉积分达到500,通用存档,荣誉等级,,1
荣誉4级,131360,攻击加成|生命加成,3|3,SSR,荣誉积分达到1000,通用存档,荣誉等级,,1
荣誉5级,131360,"物理暴伤|法术暴伤
",5|5,SSR,荣誉积分达到1500,通用存档,荣誉等级,,1
荣誉6级,131360,大招伤害|射箭伤害,3|3,SSR,荣誉积分达到2000,通用存档,荣誉等级,,1
荣誉7级,131360,物理伤害|法术伤害,3|3,SSR,荣誉积分达到2500,通用存档,荣誉等级,,1
荣誉8级,131360,物理暴率|法术暴率,2|2,SSR,荣誉积分达到3500,通用存档,荣誉等级,,1
荣誉9级,131360,力量加成|敏捷加成|智力加成,3|3|3,SSR,荣誉积分达到4500,通用存档,荣誉等级,,1
荣誉10级,131360,开局木头|最终伤害|最终减免,200|3|1,SSR,荣誉积分达到5500,通用存档,荣誉等级,,1
荣誉11级,131360,对BOSS伤害,4,SSR,荣誉积分达到7500,通用存档,荣誉等级,,1
荣誉12级,131360,对精英伤害|对小怪伤害,4|4,SSR,荣誉积分达到9500,通用存档,荣誉等级,,1
荣誉13级,131360,金币加成,5,SSR,荣誉积分达到11500,通用存档,荣誉等级,,1
荣誉14级,131360,物理伤害|法术伤害,4|4,SSR,荣誉积分达到13500,通用存档,荣誉等级,,1
荣誉15级,131360,经验加成,5,SSR,荣誉积分达到15500,通用存档,荣誉等级,,1
荣誉16级,131360,力量加成|敏捷加成|智力加成,4|4|4,SSR,荣誉积分达到17500,通用存档,荣誉等级,,1
荣誉17级,131360,最终伤害,5,SSR,荣誉积分达到17500,通用存档,荣誉等级,,1
荣誉18级,131360,攻击加成,5,SSR,荣誉积分达到17500,通用存档,荣誉等级,,1
荣誉19级,131360,对BOSS伤害,5,SSR,荣誉积分达到17500,通用存档,荣誉等级,,1
荣誉20级,131360,最终伤害|最终减免,5|1,SSR,荣誉积分达到17500,通用存档,荣誉等级,,1
