key,value
__字段说明__,字段：value
攻击白字,60
攻击速度,95
物理吸血,5
物理暴伤,25
物理暴击,10
生命白字,600
护甲白字,0
攻击范围,2000
多重数量,2
弹射次数,0
伤害减免,0
冻结伤害,0
力量增幅,0
力量白字,10
力量绿字,0
卡牌增幅,0
命中,0
多重伤害,100
弹射伤害,0
恢复效果,0
技能伤害,0
护甲增幅,0
护甲穿透,0
护甲结算值,0
护甲绿字,0
挑战伤害,0
控制时长,0
攻击增幅,0
攻击结算值,0
攻击绿字,0
攻击间隔,0
敏捷增幅,0
敏捷白字,10
敏捷绿字,0
无视护甲,0
智力增幅,0
智力白字,10
智力绿字,0
最终伤害,0
最终力量,0
最终力量增幅,0
最终护甲,0
最终攻击,0
最终敏捷,0
最终敏捷增幅,0
最终智力,0
最终智力增幅,0
最终生命,0
杀敌力量,0
杀敌加成,0
杀敌恢复,0
杀敌护甲,0
杀敌攻击,0
杀敌敏捷,0
杀敌智力,0
杀敌木材,0
杀敌生命,0
杀敌经验,0
杀敌金币,0
格挡,0
每秒力量,0
每秒攻击,0
每秒敏捷,0
每秒智力,0
每秒木材,0
每秒杀敌,0
每秒生命,0
每秒经验,0
每秒金币,0
燃烧伤害,0
物理伤害,0
生命增幅,0
生命恢复,0
生命结算值,0
生命绿字,0
百分比恢复,0
穿透次数,0
精英伤害,0
debug_attack,72
debug_attack_range,100
debug_attack_speed,60
debug_lifesteal,8
debug_crit_damage,35
debug_crit_rate,10
debug_hp,1400
