id,hero_unit_id,quality,pool_weight,order_index
mark_1,100001,R,45,1
mark_2,100002,R,45,2
mark_3,100003,SR,30,3
mark_4,100004,SR,30,4
mark_5,100005,SR,30,5
mark_6,100006,SSR,15,6
mark_7,100007,SSR,15,7
mark_8,100008,UR,10,8
mark_9,100009,UR,10,9
mark_10,100010,R,45,10
mark_11,100011,SR,30,11
mark_12,100012,R,45,12
mark_13,100013,SR,30,13
mark_14,100014,SR,30,14
mark_15,100015,R,45,15
mark_16,100016,R,45,16
mark_17,100017,SSR,15,17
mark_18,100018,SR,30,18
mark_19,100019,UR,10,19
mark_20,100020,SR,30,20
mark_21,100021,SR,30,21
mark_22,100022,R,45,22
mark_23,100023,R,45,23
mark_24,100024,R,45,24
mark_25,100025,R,45,25
mark_26,100026,SSR,15,26
mark_27,100027,R,45,27
mark_28,100028,SSR,15,28
mark_29,100029,R,45,29
mark_30,100030,SSR,15,30
