key,属性,属性数值,数量,名称,模型,奖励,奖励数值
__字段说明__,字段：属性,字段：属性数值,字段：数量,字段：名称,字段：模型,字段：奖励,字段：奖励数值
string,string,string,int,float,int,string,string
1-1,生命|攻击力|护甲,1500|15|10,3,,,,
1-2,生命|攻击力|护甲,3500|15|10,3,,,,
1-3,生命|攻击力|护甲,5500|35|10,3,,,,
1-4,生命|攻击力|护甲,7500|55|10,3,,,,
1-5,生命|攻击力|护甲,9500|65|10,3,,,,
1-6,生命|攻击力|护甲,11000|100|10,3,,,,
1-7,生命|攻击力|护甲,15000|150|10,3,,,,
1-8,生命|攻击力|护甲,20000|165|10,3,,,,
1-9,生命|攻击力|护甲,24000|195|10,3,,,,
1-10,生命|攻击力|护甲,29000|235|10,3,,,,
2-1,生命|攻击力|护甲,,3,,,,
2-2,生命|攻击力|护甲,,3,,,,
2-3,生命|攻击力|护甲,15,3,,,,
2-4,生命|攻击力|护甲,,3,,,,
2-5,生命|攻击力|护甲,,3,,,,
2-6,生命|攻击力|护甲,,3,,,,
2-7,生命|攻击力|护甲,,3,,,,
2-8,生命|攻击力|护甲,,3,,,,
2-9,生命|攻击力|护甲,,3,,,,
2-10,生命|攻击力|护甲,,3,,,,
3-1,生命|攻击力|护甲,,3,,,,
3-2,生命|攻击力|护甲,,3,,,,
3-3,生命|攻击力|护甲,,3,,,,
3-4,生命|攻击力|护甲,,3,,,,
3-5,生命|攻击力|护甲,,3,,,,
3-6,生命|攻击力|护甲,,3,,,,
3-7,生命|攻击力|护甲,,3,,,,
3-8,生命|攻击力|护甲,,3,,,,
3-9,生命|攻击力|护甲,,3,,,,
3-10,生命|攻击力|护甲,,3,,,,
4-1,生命|攻击力|护甲,,3,,,,
4-2,生命|攻击力|护甲,,3,,,,
4-3,生命|攻击力|护甲,,3,,,,
4-4,生命|攻击力|护甲,,3,,,,
4-5,生命|攻击力|护甲,,3,,,,
4-6,生命|攻击力|护甲,,3,,,,
4-7,生命|攻击力|护甲,,3,,,,
4-8,生命|攻击力|护甲,,3,,,,
4-9,生命|攻击力|护甲,,3,,,,
4-10,生命|攻击力|护甲,550000|1000|50,3,,,,
