order_index,pool_id,item_id,name,rarity,source_exchange_points,summary,source_image,notes
1,treasure_hunt_pool_1,n_east,东,N,100,+0.5%攻击加成,{1B764B5B-4EA2-49ea-BECC-10425DF112DC}.png,图片素材源自向魔兽开炮夺宝奇兵
2,treasure_hunt_pool_1,n_south,南,N,100,+0.5%力量加成,QQ截图20260421230801.png,图片素材源自向魔兽开炮夺宝奇兵
3,treasure_hunt_pool_1,n_west,西,N,100,+0.5%敏捷加成,QQ截图20260421230807.png,图片素材源自向魔兽开炮夺宝奇兵
4,treasure_hunt_pool_1,n_north,北,N,100,+0.5%智力加成,QQ截图20260421230813.png,图片素材源自向魔兽开炮夺宝奇兵
5,treasure_hunt_pool_1,n_center,中,N,100,+2攻击力,QQ截图20260421230821.png,图片素材源自向魔兽开炮夺宝奇兵
6,treasure_hunt_pool_1,n_fa,发,N,100,+2初始木头,QQ截图20260421230829.png,图片素材源自向魔兽开炮夺宝奇兵
7,treasure_hunt_pool_1,n_white,白,N,100,+5初始杀敌,QQ截图20260421230836.png,图片素材源自向魔兽开炮夺宝奇兵
8,treasure_hunt_pool_1,n_lollipop,棒棒糖,N,100,+1力量,QQ截图20260421230918.png,图片素材源自向魔兽开炮夺宝奇兵
9,treasure_hunt_pool_1,n_popcorn,爆米花,N,100,+1敏捷,QQ截图20260421230928.png,图片素材源自向魔兽开炮夺宝奇兵
10,treasure_hunt_pool_1,n_big_drumstick,大鸡腿,N,100,+0.5%城防生命加成,QQ截图20260421230934.png,图片素材源自向魔兽开炮夺宝奇兵
11,treasure_hunt_pool_1,n_big_roast_chicken,大盘鸡,N,100,+5城防生命值,QQ截图20260421230943.png,图片素材源自向魔兽开炮夺宝奇兵
12,treasure_hunt_pool_1,n_dart,飞镖,N,100,+0.5%攻击速度,QQ截图20260421230950.png,图片素材源自向魔兽开炮夺宝奇兵
13,treasure_hunt_pool_1,n_scroll,卷轴,N,100,+0.1%最终伤害,QQ截图20260421230957.png,图片素材源自向魔兽开炮夺宝奇兵
14,treasure_hunt_pool_1,n_demon_core,魔核,N,100,+0.2%物理伤害,QQ截图20260421231002.png,图片素材源自向魔兽开炮夺宝奇兵
15,treasure_hunt_pool_1,n_daughter_red,女儿红,N,100,+0.2%法术伤害,QQ截图20260421231009.png,图片素材源自向魔兽开炮夺宝奇兵
16,treasure_hunt_pool_1,n_plain_letter,普通信件,N,100,+0.5%暴击伤害,QQ截图20260421231015.png,图片素材源自向魔兽开炮夺宝奇兵
17,treasure_hunt_pool_1,n_ginseng_fruit,人参果,N,100,+10初始金币,QQ截图20260421231020.png,图片素材源自向魔兽开炮夺宝奇兵
18,treasure_hunt_pool_1,n_shaobing,烧饼,N,100,+1智力,QQ截图20260421231027.png,图片素材源自向魔兽开炮夺宝奇兵
19,treasure_hunt_pool_1,r_spade_a,黑桃A,R,500,"+6荣誉积分、+3力量、+3敏捷、+3智力",QQ截图20260421231104.png,图片素材源自向魔兽开炮夺宝奇兵
20,treasure_hunt_pool_1,r_heart_a,红心A,R,500,"+6荣誉积分、+3力量、+2%力量加成",QQ截图20260421231112.png,图片素材源自向魔兽开炮夺宝奇兵
21,treasure_hunt_pool_1,r_diamond_a,方块A,R,500,"+6荣誉积分、+3敏捷、+2%敏捷加成",QQ截图20260421231257.png,图片素材源自向魔兽开炮夺宝奇兵
22,treasure_hunt_pool_1,r_club_a,梅花A,R,500,"+6荣誉积分、+3智力、+2%智力加成",QQ截图20260421231304.png,图片素材源自向魔兽开炮夺宝奇兵
23,treasure_hunt_pool_1,r_silver_pistol,白银手枪,R,500,"+6荣誉积分、+5攻击力、+1%最终伤害",QQ截图20260421231312.png,图片素材源自向魔兽开炮夺宝奇兵
24,treasure_hunt_pool_1,r_century_dukang,百年杜康,R,500,"+6荣誉积分、+50初始金币、+10初始木头、+20初始杀敌",QQ截图20260421231318.png,图片素材源自向魔兽开炮夺宝奇兵
25,treasure_hunt_pool_1,r_boxing_gloves,搏击手套,R,500,"+6荣誉积分、+3%暴击伤害",QQ截图20260421231326.png,图片素材源自向魔兽开炮夺宝奇兵
26,treasure_hunt_pool_1,r_egg_fried_rice,蛋炒饭,R,500,"+6荣誉积分、+200城防生命值、+5每秒回血",QQ截图20260421231335.png,图片素材源自向魔兽开炮夺宝奇兵
27,treasure_hunt_pool_1,r_poison_mushroom,毒蘑菇,R,500,"+6荣誉积分、+1%物理伤害、+1%法术伤害",QQ截图20260421231346.png,图片素材源自向魔兽开炮夺宝奇兵
28,treasure_hunt_pool_1,r_chaos_bell,混沌钟,R,500,"+6荣誉积分、+3%对BOSS伤害",QQ截图20260421231359.png,图片素材源自向魔兽开炮夺宝奇兵
29,treasure_hunt_pool_1,r_telescope,望远镜,R,500,"+6荣誉积分、+3%对精英伤害",QQ截图20260421231409.png,图片素材源自向魔兽开炮夺宝奇兵
30,treasure_hunt_pool_1,r_king_kong_bell,金刚闹铃,R,500,"+6荣誉积分、+3%对爬怪伤害",QQ截图20260421231415.png,图片素材源自向魔兽开炮夺宝奇兵
31,treasure_hunt_pool_1,r_kongming_lantern,孔明灯,R,500,"+6荣誉积分、+3%对小怪伤害",QQ截图20260421231422.png,图片素材源自向魔兽开炮夺宝奇兵
32,treasure_hunt_pool_1,r_wolf_tooth_club,狼牙棒,R,500,"+6荣誉积分、+2%攻击加成",QQ截图20260421231429.png,图片素材源自向魔兽开炮夺宝奇兵
33,treasure_hunt_pool_1,r_morning_star,流星锤,R,500,"+6荣誉积分、+5%攻击速度",QQ截图20260421231436.png,图片素材源自向魔兽开炮夺宝奇兵
34,treasure_hunt_pool_1,sr_jade_knife,碧玉刀,SR,1200,"+18荣誉积分、+10攻击力、+3%攻击加成",QQ截图20260421231444.png,图片素材源自向魔兽开炮夺宝奇兵
35,treasure_hunt_pool_1,sr_tidal_gourd,潮汐葫芦,SR,1200,"+18荣誉积分、+5智力、+3%法术伤害",QQ截图20260421231729.png,图片素材源自向魔兽开炮夺宝奇兵
36,treasure_hunt_pool_1,sr_dragon_seal,龙印,SR,1200,"+18荣誉积分、+1%暴击率、+3%暴击伤害",QQ截图20260421231736.png,图片素材源自向魔兽开炮夺宝奇兵
