item_id,order_index,effect_type,effect_key,op,value,display_text,notes
n_east,1,attr,攻击加成,add,0.5,+0.5%攻击加成,
n_south,1,attr,力量加成,add,0.5,+0.5%力量加成,
n_west,1,attr,敏捷加成,add,0.5,+0.5%敏捷加成,
n_north,1,attr,智力加成,add,0.5,+0.5%智力加成,
n_center,1,attr,攻击力,add,2,+2攻击力,
n_fortune,1,resource,初始木头,add,2,+2初始木头,
n_white,1,resource,初始杀敌数,add,5,+5初始杀敌数,
n_lollipop,1,attr,力量,add,1,+1力量,
n_popcorn,1,attr,敏捷,add,1,+1敏捷,
n_meat_roll,1,attr,攻击速度,add,0.5,+0.5%攻击速度,
n_flying_dart_attr,1,attr,攻击速度,add,0.5,+0.5%攻击速度,
n_roast_chicken,1,consumable,回复/任务,grant,2,兑换获得2个烤鸡,无常驻属性
n_flying_dart_throw,1,consumable,投掷伤害,grant,2,兑换获得2个投掷飞镖,无常驻属性
n_scroll,1,consumable,随机强化卷轴,grant,2,兑换获得2个卷轴,使用后随机获得技能或属性强化
n_purple_orb,1,material,材料,grant,2,兑换获得2个紫色球体,用途待后续定义
n_red_can,1,material,材料,grant,1,兑换获得1个红色罐子,用途待后续定义
n_envelope,1,task,任务道具,grant,2,兑换获得2个信封,用途待后续定义
n_muscle_arm,1,misc,外观/任务,grant,1,兑换获得1个肌肉臂,用途待后续定义
n_pancake,1,consumable,回复/任务,grant,1,兑换获得1个煎饼,无常驻属性
r_spade_a,1,resource,荣誉积分,add,6,+6荣誉积分,
r_spade_a,2,attr,力量,add,3,+3力量,
r_spade_a,3,attr,敏捷,add,3,+3敏捷,
r_spade_a,4,attr,智力,add,3,+3智力,
r_diamond_a,1,resource,荣誉积分,add,6,+6荣誉积分,
r_diamond_a,2,attr,敏捷,add,3,+3敏捷,
r_diamond_a,3,attr,敏捷加成,add,2,+2%敏捷加成,
r_heart_a,1,resource,荣誉积分,add,6,+6荣誉积分,
r_heart_a,2,attr,力量,add,3,+3力量,
r_heart_a,3,attr,力量加成,add,2,+2%力量加成,
r_club_a,1,resource,荣誉积分,add,6,+6荣誉积分,
r_club_a,2,attr,智力,add,3,+3智力,
r_club_a,3,attr,智力加成,add,2,+2%智力加成,
r_silver_pistol,1,resource,荣誉积分,add,6,+6荣誉积分,
r_silver_pistol,2,attr,攻击力,add,5,+5攻击力,
r_silver_pistol,3,attr,最终伤害,add,1,+1%最终伤害,
r_century_dukang,1,resource,荣誉积分,add,6,+6荣誉积分,
r_century_dukang,2,resource,初始金币,add,50,+50初始金币,
r_century_dukang,3,resource,初始木头,add,10,+10初始木头,
r_century_dukang,4,resource,初始杀敌数,add,20,+20初始杀敌数,
r_boxing_gloves,1,resource,荣誉积分,add,6,+6荣誉积分,
r_boxing_gloves,2,attr,暴击伤害,add,3,+3%暴击伤害,
r_chaos_bell,1,resource,荣誉积分,add,6,+6荣誉积分,
r_chaos_bell,2,attr,对BOSS伤害,add,3,+3%对BOSS伤害,
