key,value
伤害减免,0
冰系伤害,0
冻结伤害,0
力量增幅,0
力量白字,0
力量绿字,0
卡牌增幅,0
命中,0
多重伤害,0
多重数量,0
弹射伤害,0
弹射次数,0
恢复效果,0
技能伤害,0
护甲增幅,0
护甲白字,0
护甲穿透,0
护甲结算值,0
护甲绿字,0
挑战伤害,0
控制时长,0
攻击增幅,0
攻击白字,0
攻击结算值,0
攻击绿字,0
攻击间隔,0
敏捷增幅,0
敏捷白字,0
敏捷绿字,0
无视护甲,0
智力增幅,0
智力白字,0
智力绿字,0
最终伤害,0
最终力量,0
最终力量增幅,0
最终护甲,0
最终攻击,0
最终敏捷,0
最终敏捷增幅,0
最终智力,0
最终智力增幅,0
最终生命,0
杀敌力量,0
杀敌加成,0
杀敌恢复,0
杀敌护甲,0
杀敌攻击,0
杀敌敏捷,0
杀敌智力,0
杀敌木材,0
杀敌生命,0
杀敌经验,0
杀敌金币,0
格挡,0
每秒力量,0
每秒攻击,0
每秒敏捷,0
每秒智力,0
每秒木材,0
每秒杀敌,0
每秒生命,0
每秒经验,0
每秒金币,0
火系伤害,0
燃烧伤害,0
物理伤害,0
物理暴伤,0
物系伤害,0
生命增幅,0
生命恢复,0
生命白字,0
生命结算值,0
生命绿字,0
电系伤害,0
百分比恢复,0
穿透次数,0
精控伤害,0
能量伤害,0
闪避,0
风系伤害,0
魔法伤害,0
魔法暴伤,0
