"skill_id","bond_name","projectile_key","particle_key","line_particle_key","template_ref","projectile_speed","projectile_time","target_distance","projectile_line_distance","projectile_angle_offset","projectile_motion_angle_offset","trajectory_style","projectile_parabola_height","projectile_rotate_time","projectile_init_max_rotate_angle","area_fx_base_radius","area_fx_scale_bias","particle_scale_bias","delivery_mode","motion_mode","enabled","notes","hit_fx_mode","icon_key"
"__字段说明__","羁绊名","投射物ID","特效ID","线特效ID","模板引用ID","投射物速度","投射物持续时间","目标距离","投射物线距离","投射物角度偏移","飞行角度偏移","轨迹模式(lob/missile/空)","抛物线高度","导弹转向时间","导弹初始最大转角","范围特效基准半径","范围特效缩放系数","特效缩放系数","投放模式","运动模式","是否启用(1/0)","备注","受击逻辑(once/tick/off)","图标ID(优先用于羁绊槽位显示)"
"bond_gunner","枪炮师","201391112","104991","","134267104","1880","0.72","32","120","0","","","","","","220","0.96","1.00","projectile","line","1","直线弹道+中等爆点","once","104991"
"bond_ranger","神射手","201391114","104949","","134267104","2200","0.60","24","80","0","","","","","","170","0.88","0.90","projectile","target","1","高速单体命中","once","104949"
"bond_roamer","游侠","201391115","104895","","134267104","1980","0.64","26","200","0","","","","","","240","1.00","0.98","projectile","line","1","扇/线混合表现","once","104895"
"bond_berserker","狂战士","201391101","104964","","134267104","1650","0.78","30","100","0","","","","","","180","0.90","0.92","projectile","line","1","近战冲击感","once","104964"
"bond_blademaster","剑魂","201391109","104948","","134267104","2050","0.62","26","90","0","","","","","","180","0.90","0.92","projectile","target","1","高频斩击型","once","104948"
"bond_swordsage","剑宗","201391105","104983","","134248973","1680","0.80","30","240","0","","","","","","240","1.02","1.00","spawn_on_target","line","1","剑阵/剑气圈扩散","once","104983"
"bond_dragoon","龙骑士","201391110","104860","","134268883","1280","0.95","44","260","0","","","","","","260","1.06","1.08","projectile","target","1","龙炎穿透核心表现","once","104860"
"bond_battlemage","战斗法师","201391116","104998","","134248973","1850","0.66","28","120","0","","","","","","240","1.00","1.02","projectile","target","1","法术爆裂型","once","104998"
"bond_magicswordsman","魔剑士","201391111","104943","","134237871","2050","0.60","26","320","1.5707963","","","","","","210","0.96","0.96","projectile","line","1","魔刃横扫","once","104943"
"bond_pyromancer","火法师","201391106","104915","","134237871","1380","0.86","40","0","0","","lob","260","0","","250","1.08","1.06","projectile","target","1","火焰范围灼烧","once","104915"
"bond_cryomancer","冰霜法师","201392033","104909","","134237871","1120","0.92","34","180","0","","","","","","230","1.02","0.96","spawn_on_target","instant","1","冰霜落点+持续场","once","104909"
"bond_hunter","猎人","201391107","104982","","134268883","1500","0.82","34","160","0","","","","","","210","0.94","0.94","projectile","target","1","召唤/箭矢混合","once","104982"
"bond_stormlord","雷电法王","201391108","104990","","134248973","1760","0.70","28","120","0","","missile","","0.10","55","220","0.98","1.00","projectile","target","1","连锁雷击节奏","once","104990"
"bond_skeletonmage","骷髅法师","201392033","104909","","134237871","1080","0.98","36","200","0","","","","","","220","0.96","0.94","spawn_on_target","instant","1","暗系召唤爆点","once","104909"
