stage_id,order_index,mode_id
1-1,1,standard
1-1,2,challenge
1-2,1,standard
1-2,2,challenge
1-3,1,standard
1-3,2,challenge
1-4,1,standard
1-4,2,challenge
1-5,1,standard
1-5,2,challenge
1-6,1,standard
1-6,2,challenge
1-7,1,standard
1-7,2,challenge
1-8,1,standard
1-8,2,challenge
1-9,1,standard
1-9,2,challenge
1-10,1,standard
1-10,2,challenge
1-11,1,standard
1-11,2,challenge
1-12,1,standard
1-12,2,challenge
1-13,1,standard
1-13,2,challenge
1-14,1,standard
1-14,2,challenge
1-15,1,standard
1-15,2,challenge
2-1,1,standard
2-1,2,challenge
2-2,1,standard
2-2,2,challenge
2-3,1,standard
2-3,2,challenge
2-4,1,standard
2-4,2,challenge
2-5,1,standard
2-5,2,challenge
2-6,1,standard
2-6,2,challenge
2-7,1,standard
2-7,2,challenge
2-8,1,standard
2-8,2,challenge
2-9,1,standard
2-9,2,challenge
2-10,1,standard
2-10,2,challenge
2-11,1,standard
2-11,2,challenge
2-12,1,standard
2-12,2,challenge
2-13,1,standard
2-13,2,challenge
2-14,1,standard
2-14,2,challenge
2-15,1,standard
2-15,2,challenge
3-1,1,standard
3-1,2,challenge
3-2,1,standard
3-2,2,challenge
3-3,1,standard
3-3,2,challenge
3-4,1,standard
3-4,2,challenge
3-5,1,standard
3-5,2,challenge
3-6,1,standard
3-6,2,challenge
3-7,1,standard
3-7,2,challenge
3-8,1,standard
3-8,2,challenge
3-9,1,standard
3-9,2,challenge
3-10,1,standard
3-10,2,challenge
3-11,1,standard
3-11,2,challenge
3-12,1,standard
3-12,2,challenge
3-13,1,standard
3-13,2,challenge
3-14,1,standard
3-14,2,challenge
3-15,1,standard
3-15,2,challenge
4-1,1,standard
4-1,2,challenge
4-2,1,standard
4-2,2,challenge
4-3,1,standard
4-3,2,challenge
4-4,1,standard
4-4,2,challenge
4-5,1,standard
4-5,2,challenge
4-6,1,standard
4-6,2,challenge
4-7,1,standard
4-7,2,challenge
4-8,1,standard
4-8,2,challenge
4-9,1,standard
4-9,2,challenge
4-10,1,standard
4-10,2,challenge
4-11,1,standard
4-11,2,challenge
4-12,1,standard
4-12,2,challenge
4-13,1,standard
4-13,2,challenge
4-14,1,standard
4-14,2,challenge
4-15,1,standard
4-15,2,challenge
5-1,1,standard
5-1,2,challenge
5-2,1,standard
5-2,2,challenge
5-3,1,standard
5-3,2,challenge
5-4,1,standard
5-4,2,challenge
5-5,1,standard
5-5,2,challenge
5-6,1,standard
5-6,2,challenge
5-7,1,standard
5-7,2,challenge
5-8,1,standard
5-8,2,challenge
5-9,1,standard
5-9,2,challenge
5-10,1,standard
5-10,2,challenge
5-11,1,standard
5-11,2,challenge
5-12,1,standard
5-12,2,challenge
5-13,1,standard
5-13,2,challenge
5-14,1,standard
5-14,2,challenge
5-15,1,standard
5-15,2,challenge
