group_id,seq,path_text,notes
element,1,元素师,
necro,1,死灵法师,
paladin,1,圣骑士,
assassin,1,刺客,
warlock,1,术士,
summoner,1,召唤师,
warrior,1,战士,
guardian,1,守护者,
berserker,1,狂战士,
hunter,1,猎手,
machinist,1,机械师,
alchemist,1,炼金师,
witchdoctor,1,巫医,
shadowwalker,1,暗影行者,
inquisitor,1,审判官,
priest,1,祭司,
curseblade,1,咒刃,
dragonborn,1,龙裔,
astrologer,1,星术师,
illusionist,1,幻术师,
inferno,1,炼狱行者,
frost,1,冰霜使,
thunder,1,雷鸣使,
windspeaker,1,风语者,
runesmith,1,符文师,
oracle,1,先知,
shadowmage,1,影法师,
boneknight,1,骸骨骑士,
forge,1,炎铸匠,
executor,1,天罚者,

