group_id,choice_id,display_name,quality,order_index,notes
element,__group_element,元素师,rare,1,
necro,__group_necro,死灵法师,epic,2,
paladin,__group_paladin,圣骑士,rare,3,
assassin,__group_assassin,刺客,rare,4,
warlock,__group_warlock,术士,epic,5,
summoner,__group_summoner,召唤师,epic,6,
warrior,__group_warrior,战士,rare,7,
guardian,__group_guardian,守护者,rare,8,
berserker,__group_berserker,狂战士,epic,9,
hunter,__group_hunter,猎手,rare,10,
machinist,__group_machinist,机械师,epic,11,
alchemist,__group_alchemist,炼金师,rare,12,
witchdoctor,__group_witchdoctor,巫医,epic,13,
shadowwalker,__group_shadowwalker,暗影行者,epic,14,
inquisitor,__group_inquisitor,审判官,rare,15,
priest,__group_priest,祭司,rare,16,
curseblade,__group_curseblade,咒刃,epic,17,
dragonborn,__group_dragonborn,龙裔,epic,18,
astrologer,__group_astrologer,星术师,epic,19,
illusionist,__group_illusionist,幻术师,epic,20,
inferno,__group_inferno,炼狱行者,epic,21,
frost,__group_frost,冰霜使,epic,22,
thunder,__group_thunder,雷鸣使,epic,23,
windspeaker,__group_windspeaker,风语者,rare,24,
runesmith,__group_runesmith,符文师,rare,25,
oracle,__group_oracle,先知,epic,26,
shadowmage,__group_shadowmage,影法师,epic,27,
boneknight,__group_boneknight,骸骨骑士,epic,28,
forge,__group_forge,炎铸匠,epic,29,
executor,__group_executor,天罚者,epic,30,

