level,order_index,exp_to_next,all_attr_bonus,all_element_damage_bonus
1,1,350,0,0.0
2,2,400,1,0.0
3,3,450,2,0.0
4,4,500,5,0.0
5,5,550,9,0.1
6,6,600,13,0.1
7,7,650,19,0.2
8,8,700,26,0.3
9,9,750,34,0.3
10,10,800,43,0.4
11,11,900,54,0.5
12,12,1000,65,0.7
13,13,1100,77,0.8
14,14,1200,90,0.9
15,15,1300,105,1.1
16,16,1400,120,1.2
17,17,1500,137,1.4
18,18,1600,155,1.6
19,19,1700,173,1.8
20,20,1800,193,2.0
21,21,2000,214,2.2
22,22,2200,236,2.4
23,23,2400,259,2.6
24,24,2600,283,2.9
25,25,2800,308,3.1
26,26,3000,335,3.4
27,27,3200,362,3.7
28,28,3400,390,3.9
29,29,3600,420,4.2
30,30,3800,450,4.6
31,31,4300,482,4.9
32,32,4800,515,5.2
33,33,5300,548,5.5
34,34,5800,583,5.9
35,35,6300,619,6.3
36,36,6800,656,6.6
37,37,7300,694,7.0
38,38,7800,733,7.4
39,39,8300,773,7.8
40,40,8800,814,8.2
41,41,9800,857,8.7
42,42,10800,900,9.1
43,43,11800,944,9.5
44,44,12800,990,10.0
45,45,13800,1037,10.5
46,46,14800,1084,11.0
47,47,15800,1133,11.5
48,48,16800,1183,12.0
49,49,17800,1234,12.5
50,50,18800,1286,13.0
51,51,20300,1339,13.5
52,52,21800,1393,14.1
53,53,23300,1448,14.6
54,54,24800,1504,15.2
55,55,26300,1561,15.8
56,56,27800,1620,16.4
57,57,29300,1679,17.0
58,58,30800,1740,17.6
59,59,32300,1801,18.2
60,60,0,1864,18.8
